index,name,tele,address,more_inf_url
20,Loré,0184192470,18 B rue de la Réole,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/solutions-metier-pour-les-entreprises-immobilieres/
21,Price Observatory,01 84 20 33 05,28 Avenue de Maurin,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/price-observatory/
22,Jamespot,01 48 58 18 01,"66 Rue Marceau, 93100 Montreuil, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/jamespot/
23,Apsynet,01 55 17 21 31,"Rue Carpeaux, 78500 Sartrouville, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/apsynet/
24,Siemens,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/siemens-2/
25,Twimm,+33 1 40 93 99 50,"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/twimm/
26,Aveva,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/aveva/
27,Actito,+33 185763090,"11 Rue Du Faubourg Poissonnière, 75009 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/actito/
28,New Relic,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/new-relic/
29,Goaland,0140101999,155 Rue du Docteur Bauer,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/goaland/
30,Autodesk,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/autodesk/
31,Informatica,+33 01 42 04 89 00,16 Place de l'Iris Courbevoie,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/informatica/
32,Cegid,+33 (0) 811 88 48 88,25-27 Rue d'Astorg,https://www.cloudlist.fr/annuaire/editeurs/erp/cegid/
33,Oalia,+33 (0)1 74 70 16 16,"38 Boulevard Henri Sellier, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/oalia/
34,Talend,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/talend/
35,inRiver,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/inriver/
36,KLS Group,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/kls-group/
37,Plezi,01 83 81 51 85,"Rue Des Archives, 75004 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/plezi/
38,"Kantree, booste la collaboration à travers toute votre entreprise",09 72 55 06 44,"10 Rue De Penthièvre, 75008 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/sirh/kantree-booste-la-collaboration-a-travers-toute-votre-entreprise/
39,DOMMS,09 72 50 02 77,24 rue du corps franc pommies,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/domms/
40,Dynatrace,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/dynatrace/
41,Toolcie,,Comba Borel 7,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/toolcie-logiciel-de-devis-et-facturation/
42,Opscidia,0652283728,"12 Rue Anselme, 93400 Saint-Ouen-sur-Seine, France",https://www.cloudlist.fr/annuaire/editeurs/big-data/opscidia/
43,Flag | Orisha,+33494089460,"301 Littoral Frédéric Mistral, 83000 Toulon, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/flag-orisha/
44,Visiativ,04 78 87 60 34,Auvergne-Rhône-Alpes,https://www.cloudlist.fr/annuaire/editeurs/cloud/visiativ/
45,Nemetschek,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/nemetschek/
46,Logiciel de GMAO allMAINT,0555466506,"France, Nouvelle-Aquitaine",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/logiciel-de-gmao-allmaint/
47,DOCUWARE,0157190323,17 RUE DU COLISEE,https://www.cloudlist.fr/annuaire/editeurs/cloud/docuware-2/
48,Belharra Numérique,0559704070,"155 Impasse Oihana, 64200 Bassussarry, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/belharra-numerique/
49,Kwanzeo,,12 rue des Jeûneurs,https://www.cloudlist.fr/annuaire/editeurs/big-data/kwanzeo-lesn-specialiste-en-cloud-et-en-data-intelligence/
50,NovaBricks – Plateforme No-Code / Low-Code,09 72 39 49 85,"165 Avenue De Bretagne, 59000 Lille, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/novabricks-plateforme-no-code-low-code/
51,Parthena Consultant,01 40 95 30 41,"305 Avenue Le Jour-Se-Lève, 92100 Boulogne-Billancourt, France",https://www.cloudlist.fr/annuaire/editeurs/sirh/parthena-consultant/
52,Ishinomakiya,+33340537948,"10 Rue De Penthièvre, 75008 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/ishinomakiya/
53,Votim,+33 1 40 99 93 50,"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/votim/
54,NewWaySERVICE.com,418-524-5066 poste 202,"979 Avenue De Bourgogne, Québec, Quebec G1W 2L4, Canada",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/newwayservice-com/
55,WEELITE FRANCE,0033188320988,440 Clos de la Courtine,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/weelite-france/
56,DataValue Consulting,01 81 89 41 70,"9 Boulevard Du Général De Gaulle, 92120 Montrouge, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/datavalue-consulting/
57,OneBase Solutions,0619254440,"81 Boulevard Pierre 1er, 33110 Le Bouscat, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/onebase-solutions/
58,Tootwi,+33 1 40 93 99 50,"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/tootwi/
59,Bonitasoft,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bonitasoft/
60,Oracle,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/oracle/
61,Legal Archive – Tiers de confiance numérique,0777498392,"442 Rue Georges Besse, 30000 Nîmes, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/legal-archive-tiers-de-confiance-numerique/
62,Axelor,01 83 64 06 50,23 Rue Alfred Nobel,https://www.cloudlist.fr/annuaire/editeurs/erp/axelor/
63,Intwi,+33 1 40 93 99 50,"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/intwi/
64,W3Plus,+33470595970,"5 Rue Des Ancises, 03300 Creuzier-le-Neuf, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/w3plus/
65,Easiware,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/easiware/
66,Linedata Services,+33 (0)1 73 43 70 10,27 Rue d'Orléans,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/linedata-services/
67,AGI,+33661652292,28 chemin du Lubet,https://www.cloudlist.fr/annuaire/editeurs/erp/agi/
68,Hyperlex,+33 9 72 65 16 24,"13 Rue De La Grange Batelière, 75009 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/hyperlex/
69,Simsoft Industry,+33 (0)5 31 61 85 10,Le California - Hall 'A' 1244 rue l'Occitane,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/simsoft-industry/
70,Esker,+33 (0)8 11 65 12 41,113 Boulevard Stalingrad,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/esker/
71,Akio,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/akio/
72,Zoho,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/zoho/
73,Blue Prism,,,https://www.cloudlist.fr/annuaire/editeurs/big-data/blue-prism/
74,Axway,+330149092200,Tour Winterthur,https://www.cloudlist.fr/annuaire/editeurs/cloud/axway/
75,Murex,+33 (0)1 44 05 32 00,8 Rue Bellini,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/murex/
76,Ataccama,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/ataccama/
77,Wedia Group,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/wediagroup/
78,Kobeya,0676678465,"110 Boulevard National, 13003 Marseille, France",https://www.cloudlist.fr/annuaire/editeurs/erp/kobeya/
79,Yuman,+32470748101,12 KANTERSTEEN,https://www.cloudlist.fr/annuaire/editeurs/mobilite/yuman/
80,ePhoto,,,https://www.cloudlist.fr/annuaire/editeurs/big-data/ephoto-2/
81,Atera,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/atera/
82,Comarch,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/comarch/
83,VIF,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/vif/
84,Frontify,,,https://www.cloudlist.fr/annuaire/editeurs/big-data/frontify/
85,eBrigade,01 84 25 26 63,12 rue Pierre Larousse 93300 Aubervilliers,https://www.cloudlist.fr/annuaire/editeurs/erp/ebrigade/
86,Colibri Advanced Solutions,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/colibriadvancedsolutions/
87,Akeneo,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/akeneo-2/
88,Simplydesk,04 72 20 09 92,"24, avenue Joannes Masset",https://www.cloudlist.fr/annuaire/editeurs/cloud/simplydesk/
89,Humanperf Software,+33 (0)3 20 13 97 33,199/201 Rue Colbert,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/humanperf/
90,ScaleDynamics,07 83 26 26 82,"15 Rue Du Chêne Germain, 35510 Cesson-Sévigné, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/scaledynamics/
91,Semarchy,+33 4 87 91 89 93,"55 Avenue René Cassin, 69009 Lyon, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/semarchy/
92,ZenDesk,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/zendesk-2/
93,Wittyfit,+33 (0)1 42 40 17 69,"24 Rue De Châteaudun, 75009 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/wittyfit/
94,Sourcing Force,0428295224,Auvergne-Rhône-Alpes,https://www.cloudlist.fr/annuaire/editeurs/cloud/sourcing-force/
95,OSLO (Kimoce),,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/oslo/
96,Stibo Systems,,,https://www.cloudlist.fr/annuaire/editeurs/big-data/stibosystems-2/
97,BK Systèmes – Speed WMS,0474957500,"Rue Condorcet, 38090 Vaulx-Milieu, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bk-systemes-speed-wms/
98,Quadient (anciennement Neopost SA),+33 (0) 892 89 21 11,7 Rue Henri Becquerel,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/neopost-sa/
99,Découvrez notre éditeur logiciel Picomto,+33 9 72 63 23 00,4 rue delesalle La Madeleine,https://www.cloudlist.fr/annuaire/editeurs/cloud/decouvrez-notre-editeur-logiciel-picomto/
100,CEM XNet Applications Métier,+33 6 61 85 53 93,Occitanie,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/cem-xnet-applications-metier/
101,Val Software,+33 (0)5 61 00 92 00,"16 Avenue Salvador Dali, 31700 Blagnac, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/val-software/
102,Easyrequest,04 81 91 56 41,Auvergne-Rhône-Alpes,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/easyrequest/
103,Creative IT,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/creative-it/
104,Boomi,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/boomi/
105,Kerhis,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/kerhis/
106,Twipi Group,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/twipigroup/
107,Anakeen,+33 (0)1 75 43 66 10,"1-3 Avenue De Flandre, 75019 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/anakeen/
108,Octopus ITSM,01 72 98 03 15,"Les Cours Mont-Royal, 1455 rue Peel, Montréal, Quebec H3A 1P2, Canada",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/octopus-itsm/
109,Claranova,+33 (0)1 41 27 19 75,89-91 Boulevard national,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/claranova/
110,Lisible,0175498250,"Rue De Solférino, 92100 Boulogne-Billancourt, France",https://www.cloudlist.fr/annuaire/editeurs/infrastructure/lisible/
111,Isagri,+33 (0)3 44 06 40 00,Avenue des Censives Tillé,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/isagri/
112,atimeus,06649422771,"23 Avenue Corentin Cariou, 75019 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/atimeus/
113,Boond Manager,0362276105,"6 Rue De Porstrein, 29200 Brest, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/pilotez-votre-cabinet-de-conseil-esn-ou-societe-dingenierie-en-toute-simplicite/
114,DMI,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/dmi/
115,ESI Group,+33 (0)1 53 65 14 14,100-102 Avenue de Suffren,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/esi-group/
116,Sage,01 41 66 25 92,"10 Place De Belgique, 92250 La Garenne-Colombes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/sage/
117,Acollab,02 85 52 00 51,"6 Rue Du Pont, 72100 Le Mans, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/acollab-une-plateforme-collaborative-simple-efficace-et-securisee/
118,LSE,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/lse/
119,Praxedo,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/praxedo-2/
120,Solarwinds,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/solarwinds/
121,Directskills,+33 (0)1 75 04 60 20,"37, Boulevard Devaux",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/directskills/
122,Bynder,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bynder/
123,Synergee,04 66 49 40 40,"1 Boulevard Charles De Gaulle, 92700 Colombes, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/synergee/
124,Aprodix,04 72 68 17 06,18 Avenue Felix Faure,https://www.cloudlist.fr/annuaire/editeurs/erp/aprodix/
125,Neeva Group,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/neeva-group/
126,Saphyr,+41791978691,Sion,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/logiciel-de-gestion-dentreprise-100-adaptable-et-parametrable/
127,DL Software,+33(0)1 58 57 22 94,8 Avenue Hoche,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/dl-software/
128,Atamoz,0650427668,3 rue de mailly,https://www.cloudlist.fr/annuaire/editeurs/cloud/logiciel-de-gestion-locative-gratuit-en-ligne-atamoz/
129,AKANEA,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/akanea-2/
130,Eurecia,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/eurecia/
131,Moskitos,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/moskitos/
132,BK Systèmes – Foxy APS,0474957500,"Rue Condorcet, 38090 Vaulx-Milieu, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bk-systemes-foxy-aps/
133,AgiLab,,,https://www.cloudlist.fr/annuaire/editeurs/big-data/agilab/
134,ArpeJe,01 73 13 68 15,14 RUE SOLEILLET PARIS,https://www.cloudlist.fr/annuaire/editeurs/mobilite/arpeje/
135,Peopulse,,16 AV DE L'AGENT SARRE,https://www.cloudlist.fr/annuaire/editeurs/sirh/peopulse/
136,Atoptima,0659921608,"16 Place Sainte-Eulalie, 33000 Bordeaux, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/atoptima/
137,Prophix,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/prophix-2/
138,Limseo,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/limseo/
139,Easy Orga,00687950730,98846,https://www.cloudlist.fr/annuaire/editeurs/cloud/easy-orga/
140,Best CMS + DAM pour Architecture Composable,0611408251,17 RUE DE LA FORGE ROYALE,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/best-cms-dam-pour-architecture-composable/
141,Siveco Group,,,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/sivecogroup/
142,Triskell PPM,0663099564,3 rue de l'Eure,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/triskell-ppm/
143,BatiChiffrage,04 75 81 27 42,2 place Edmont Regnault,https://www.cloudlist.fr/annuaire/editeurs/cloud/batichiffrage/
144,VMWare,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/vmware/
145,Okta,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/okta/
146,PTV Group,01 30 75 75 75,"Immeuble Les Miroirs – Bât. C, 18 Avenue d‘Alsace",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/ptv-group/
147,iSpring,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/ispring-2/
148,AD’VALOREM : Editeur de logiciels,04 75 69 20 50,"2 Route De Californie, 07100 Annonay, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/advalorem-editeur-de-logiciels/
149,Lascom,+33 (0)1 69 35 12 20,Energy Park 3 – Immeuble l’Etendard,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/lascom/
150,Smart AdServer,+33(0)1 86 26 76 20,66 Rue de la Chaussée d'Antin,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/smart-adserver/
151,NavTrax,02 53 55 09 96,"60 Boulevard Maréchal Alphonse Juin, 44100 Nantes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/navtrax/
152,Onaya,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/onaya-2/
153,Queoval,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/queoval-2/
154,Inbenta France,+33 5 31 54 94 97,164 Route de Revel,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/inbenta-france/
155,NinjaOne,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/ninjaone/
156,Glibl,0663576428,"Lyon, Rhône, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/glibl/
157,Dokmee,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/dokmee-2/
158,SAP,+33 (0) 805 800 023,35 Rue d'Alsace,https://www.cloudlist.fr/annuaire/editeurs/erp/sap/
159,Cegedim,+33 (0)1 49 09 22 00,137 Rue d'Aguesseau,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/cegedim/
160,Globalis,0182835170,6B RUE AUGUSTE VITU,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/globalis/
161,Septeo,,"14, rue Magellan",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/septeo/
162,Sopra Steria,+33 (0)1 40 67 29 29,9 Rue de Presbourg,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/sopra-steria/
163,Force 6,0374050094,"980 Rue Charles Pecqueur, 62620 Ruitz, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/force-6-logiciel-de-gestion-pour-le-batiment-btp/
164,Dévarius,0987002838,Pays de la Loire,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/devarius/
165,Phonilab,0170807075,"80 Rue Du Docteur Bauer, 93400 Saint-Ouen-sur-Seine, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/phonilab/
166,Berger-Levrault,+33(0)8 20 35 35 35,892 Rue Yves Kermen,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/berger-levrault/
167,Salesforce,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/salesforce/
168,Eleven Labs,+33 1 82 83 11 75,"102 Rue Du Faubourg Saint-Honoré, 75008 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/eleven-labs/
169,Inser RH,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/inser-rh/
170,Novamap,0491580040,"180 Avenue Du Prado, 13008 Marseille, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/novamap/
171,Acollab,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/acollab/
172,D-XPERTS,+33352829670,7 rue Pierre Salmon,https://www.cloudlist.fr/annuaire/editeurs/cloud/d-xperts/
173,FoxPlan,0951641551,4 PL MAURICE BERTEAUX,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/foxplan/
174,Fleet Tracking,0021625102508,"111 Avenue Victor Hugo, 75116 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/fleet-tracking/
175,dDruid,0367707085,Grand Est,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/ddruid/
176,Keizai,0670979858,Provence-Alpes-Côte d’Azur,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/keizai/
177,Chatbot Relation Citoyen,+33 (0) 4 28 89 10 22,"36 Quai Fulchiron, 69005 Lyon, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/chatbot-relation-citoyen/
178,Extrabat – Logiciel CRM Bâtiment,09 87 87 69 20,"49 Boulevard Besson Bey, 16000 Angoulême, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/extrabat-logiciel-crm-batiment/
179,Freedz,04 86 01 20 00,"180 Avenue Du Prado, 13008 Marseille, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/freedz/
180,Board,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/board/
181,Afineo Solutions,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/afineo-solutions/
182,Logiciel point de vente Gexell,04 91 16 54 63,9 Rue Jacques Réattu,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/logiciel-point-de-vente-gexell/
183,ATTIC +,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/attic/
184,DOCUWARE,33 (0)1 57 19 03 23,17 Rue Du Colisée,https://www.cloudlist.fr/annuaire/editeurs/cloud/docuware/
185,Dassault Systèmes,+33 (0)1 61 62 61 62,"10, Rue Marcel Dassault",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/dassault-systemes/
186,Ilex International,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/ilex-international-2/
187,ServiceNow,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/servicenow/
188,Divalto,03 88 64 50 60,"11 Rue Icare, 67960 Entzheim, France",https://www.cloudlist.fr/annuaire/editeurs/erp/divalto/
189,BIMData,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/bimdata/
190,Avanteam,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/avanteam/
