index,name,tele,address,more_inf_url,email,web_site_url
54,NewWaySERVICE.com,['418-524-5066 poste 202'],"979 Avenue De Bourgogne, Québec, Quebec G1W 2L4, Canada",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/newwayservice-com/,info@newwayservice.com,https://fr.newwayservice.com/
55,WEELITE FRANCE,['0033188320988'],440 Clos de la Courtine,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/weelite-france/,,http://weelite-france.fr/
56,DataValue Consulting,['01 81 89 41 70'],"9 Boulevard Du Général De Gaulle, 92120 Montrouge, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/datavalue-consulting/,,https://datavalue-consulting.com/
57,OneBase Solutions,['0619254440'],"81 Boulevard Pierre 1er, 33110 Le Bouscat, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/onebase-solutions/,m.bonnas@team-one.fr,https://www.onebase.fr/
58,Tootwi,['+33 1 40 93 99 50'],"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/tootwi/,contact@twipi-group.com,https://twipi-group.com/solution/tootwi-gerez-plus-vite-grace-aux-residents/
59,Bonitasoft,['08 92 97 70 95 (surtaxÃ©)'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bonitasoft/,,https://fr.bonitasoft.com/
60,Oracle,['01 57 60 20 20'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/oracle/,,https://www.oracle.com/fr/
61,Legal Archive – Tiers de confiance numérique,['0777498392'],"442 Rue Georges Besse, 30000 Nîmes, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/legal-archive-tiers-de-confiance-numerique/,kcarlet@legalarchive.fr,https://legalarchive.fr/
62,Axelor,['01 83 64 06 50'],23 Rue Alfred Nobel,https://www.cloudlist.fr/annuaire/editeurs/erp/axelor/,contact@axelor.com,https://axelor.com/
63,Intwi,['+33 1 40 93 99 50'],"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/intwi/,contact@twipi-group.com,https://twipi-group.com/solution/intwi-facilitez-les-echanges-gagnez-au-change/
64,W3Plus,['+33470595970'],"5 Rue Des Ancises, 03300 Creuzier-le-Neuf, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/w3plus/,,https://www.w3plus.fr/
65,Easiware,['09 78 45 01 91'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/easiware/,,https://www.easiware.com/
66,Linedata Services,['+33 (0)1 73 43 70 10'],27 Rue d'Orléans,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/linedata-services/,,https://fr.linedata.com/
67,AGI,['+33661652292'],28 chemin du Lubet,https://www.cloudlist.fr/annuaire/editeurs/erp/agi/,jy.page@a-g-i.fr,http://www.a-g-i.fr
68,Hyperlex,['+33 9 72 65 16 24'],"13 Rue De La Grange Batelière, 75009 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/hyperlex/,contact@hyperlex.ai,https://hyperlex.ai
69,Simsoft Industry,['+33 (0)5 31 61 85 10'],Le California - Hall 'A' 1244 rue l'Occitane,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/simsoft-industry/,webcom.agency.fr@gmail.com,https://www.simsoft-industry.com/
70,Esker,['+33 (0)8 11 65 12 41'],113 Boulevard Stalingrad,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/esker/,,https://www.esker.fr/
71,Akio,['+33 1 53 20 63 81'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/akio/,,https://www.akio.com/fr/logiciel-service-client-akio-cx/
72,Zoho,['+33 (0)805542462'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/zoho/,,https://www.zoho.com/fr/
73,Blue Prism,['01 87 39 38 00'],,https://www.cloudlist.fr/annuaire/editeurs/big-data/blue-prism/,,https://www.blueprism.com/fr
74,Axway,['+330149092200'],Tour Winterthur,https://www.cloudlist.fr/annuaire/editeurs/cloud/axway/,,https://www.axway.com/fr
75,Murex,['+33 (0)1 44 05 32 00'],8 Rue Bellini,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/murex/,,https://www.murex.com
76,Ataccama,['https://www.ataccama.com/fr/contact/sales'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/ataccama/,,www.ataccama.com/fr
77,Wedia Group,['01 44 64 87 60'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/wediagroup/,,www.wedia-group.com
78,Kobeya,['0676678465'],"110 Boulevard National, 13003 Marseille, France",https://www.cloudlist.fr/annuaire/editeurs/erp/kobeya/,contact@kobeya.fr,https://kobeya.fr/
79,Yuman,['+32470748101'],12 KANTERSTEEN,https://www.cloudlist.fr/annuaire/editeurs/mobilite/yuman/,,http://www.yuman.io
80,ePhoto,['05 86 160 666'],,https://www.cloudlist.fr/annuaire/editeurs/big-data/ephoto-2/,,https://www.ephoto.fr/
81,Atera,['Formulaire de contact'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/atera/,,https://www.atera.com/fr/
82,Comarch,['04 87 91 42 06'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/comarch/,,www.comarch.fr/
83,VIF,['02 51 89 12 40'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/vif/,,vif.fr
84,Frontify,['076 242-9490'],,https://www.cloudlist.fr/annuaire/editeurs/big-data/frontify/,,www.frontify.com
85,eBrigade,['01 84 25 26 63'],12 rue Pierre Larousse 93300 Aubervilliers,https://www.cloudlist.fr/annuaire/editeurs/erp/ebrigade/,contact@ebrigade.app,https://ebrigade.app/
86,Colibri Advanced Solutions,['09 54 42 03 67'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/colibriadvancedsolutions/,,https://www.colibricrm.com/
87,Akeneo,['https://www.akeneo.com/fr/contact/'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/akeneo-2/,,https://www.akeneo.com/fr/
88,Simplydesk,['04 72 20 09 92'],"24, avenue Joannes Masset",https://www.cloudlist.fr/annuaire/editeurs/cloud/simplydesk/,info@pci-info.com,https://www.simplydesk.fr
89,Humanperf Software,['+33 (0)3 20 13 97 33'],199/201 Rue Colbert,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/humanperf/,team@humanperf.com,https://www.humanperf.com/fr/
90,ScaleDynamics,['07 83 26 26 82'],"15 Rue Du Chêne Germain, 35510 Cesson-Sévigné, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/scaledynamics/,welcome@scaledynamics.com,https://scaledynamics.com/
91,Semarchy,['+33 4 87 91 89 93'],"55 Avenue René Cassin, 69009 Lyon, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/semarchy/,,https://www.semarchy.com/fr/
92,ZenDesk,['+33 9 75 18 20 86'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/zendesk-2/,,www.zendesk.fr
93,Wittyfit,['+33 (0)1 42 40 17 69'],"24 Rue De Châteaudun, 75009 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/wittyfit/,,https://wittyfit.com/
94,Sourcing Force,['0428295224'],Auvergne-Rhône-Alpes,https://www.cloudlist.fr/annuaire/editeurs/cloud/sourcing-force/,,https://www.sourcing-force.com/
95,OSLO (Kimoce),['03 89 43 88 00'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/oslo/,,https://www.kimoce.com/fr/
96,Stibo Systems,['01 44 51 08 70'],,https://www.cloudlist.fr/annuaire/editeurs/big-data/stibosystems-2/,,https://www.stibosystems.com/fr/
97,BK Systèmes – Speed WMS,['0474957500'],"Rue Condorcet, 38090 Vaulx-Milieu, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bk-systemes-speed-wms/,contact@bksystemes.fr,http://www.bksystemes.fr
98,Quadient (anciennement Neopost SA),['+33 (0) 892 89 21 11'],7 Rue Henri Becquerel,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/neopost-sa/,,https://www.quadient.com/fr/page-d-accueil
99,Découvrez notre éditeur logiciel Picomto,['+33 9 72 63 23 00'],4 rue delesalle La Madeleine,https://www.cloudlist.fr/annuaire/editeurs/cloud/decouvrez-notre-editeur-logiciel-picomto/,contact@picomto.com,https://www.picomto.com/
100,CEM XNet Applications Métier,['+33 6 61 85 53 93'],Occitanie,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/cem-xnet-applications-metier/,em@cemxnet.fr,https://cemxnet.fr/
101,Val Software,['+33 (0)5 61 00 92 00'],"16 Avenue Salvador Dali, 31700 Blagnac, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/val-software/,ask@valsoftware.com,https://www.valsoftware.com/fr/
102,Easyrequest,['04 81 91 56 41'],Auvergne-Rhône-Alpes,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/easyrequest/,info@artsurleweb.com,https://www.easyrequest.fr
103,Creative IT,['04 78 83 19 90'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/creative-it/,,https://www.qubes.com/fr/
104,Boomi,['+44 84552 81570'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/boomi/,,https://boomi.com/fr
105,Kerhis,['02 98 86 02 22'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/kerhis/,,https://www.kerhis.com/
106,Twipi Group,['+33 1 85 53 72 07'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/twipigroup/,,https://twipi-group.com/
107,Anakeen,['+33 (0)1 75 43 66 10'],"1-3 Avenue De Flandre, 75019 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/anakeen/,contact@anakeen.com,https://www.anakeen.com/fr/
108,Octopus ITSM,['01 72 98 03 15'],"Les Cours Mont-Royal, 1455 rue Peel, Montréal, Quebec H3A 1P2, Canada",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/octopus-itsm/,sales@octopus-itsm.com,https://fr.octopus-itsm.com/
109,Claranova,['+33 (0)1 41 27 19 75'],89-91 Boulevard national,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/claranova/,,https://claranova.fr/
110,Lisible,['0175498250'],"Rue De Solférino, 92100 Boulogne-Billancourt, France",https://www.cloudlist.fr/annuaire/editeurs/infrastructure/lisible/,sg@avecdesmots.com,http://lisible.com
111,Isagri,['+33 (0)3 44 06 40 00'],Avenue des Censives Tillé,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/isagri/,,https://www.isagri.fr
112,atimeus,['06649422771'],"23 Avenue Corentin Cariou, 75019 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/atimeus/,contact@atimeus.com,https://www.atimeus.com
113,Boond Manager,['0362276105'],"6 Rue De Porstrein, 29200 Brest, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/pilotez-votre-cabinet-de-conseil-esn-ou-societe-dingenierie-en-toute-simplicite/,contact@boondmanager.com,https://www.boondmanager.com/
114,DMI,['+33 (0)6 88 68 83 31'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/dmi/,,www.dmi-fr.com
115,ESI Group,['+33 (0)1 53 65 14 14'],100-102 Avenue de Suffren,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/esi-group/,,https://www.esi-group.com/
116,Sage,['01 41 66 25 92'],"10 Place De Belgique, 92250 La Garenne-Colombes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/sage/,contact@sage.com,https://www.sage.com/
117,Acollab,['02 85 52 00 51'],"6 Rue Du Pont, 72100 Le Mans, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/acollab-une-plateforme-collaborative-simple-efficace-et-securisee/,,https://www.acollab.com/
118,LSE,['+33(0)1 55 12 57 77'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/lse/,,https://www.lse.fr/
119,Praxedo,['01 40 33 79 79'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/praxedo-2/,,https://www.praxedo.fr/
120,Solarwinds,['+1 866 530 8040'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/solarwinds/,,http://www.solarwinds.com
121,Directskills,['+33 (0)1 75 04 60 20'],"37, Boulevard Devaux",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/directskills/,,https://www.directskills.com/
122,Bynder,['Contact par e-mail ou chatbot'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bynder/,,www.bynder.com/fr
123,Synergee,['04 66 49 40 40'],"1 Boulevard Charles De Gaulle, 92700 Colombes, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/synergee/,france@synergee.com,https://synergee.com/
124,Aprodix,['04 72 68 17 06'],18 Avenue Felix Faure,https://www.cloudlist.fr/annuaire/editeurs/erp/aprodix/,contact@aprodix.com,https://aprodix.fr/
125,Neeva Group,['01 75 00 03 50'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/neeva-group/,,https://www.neevagroup.com/
126,Saphyr,['+41791978691'],Sion,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/logiciel-de-gestion-dentreprise-100-adaptable-et-parametrable/,hello@saphyr-solutions.ch,https://www.saphyr-solutions.com
127,DL Software,['+33(0)1 58 57 22 94'],8 Avenue Hoche,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/dl-software/,,https://www.dlsoftware.fr/
128,Atamoz,['0650427668'],3 rue de mailly,https://www.cloudlist.fr/annuaire/editeurs/cloud/logiciel-de-gestion-locative-gratuit-en-ligne-atamoz/,infos@atamoz.fr,https://atamoz.fr/
129,AKANEA,['09 72 72 23 62'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/akanea-2/,,https://akanea.com/
130,Eurecia,['05 62 20 03 69'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/eurecia/,,https://www.eurecia.com/
131,Moskitos,['01 45 06 68 28'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/moskitos/,,https://crosscut.eu/
132,BK Systèmes – Foxy APS,['0474957500'],"Rue Condorcet, 38090 Vaulx-Milieu, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/bk-systemes-foxy-aps/,contact@bksystemes.fr,http://www.bksystemes.fr
133,AgiLab,['contact@agilab.com'],,https://www.cloudlist.fr/annuaire/editeurs/big-data/agilab/,,https://www.cloudlist.fr/decryptages-logiciels/metier/lims/
134,ArpeJe,['01 73 13 68 15'],14 RUE SOLEILLET PARIS,https://www.cloudlist.fr/annuaire/editeurs/mobilite/arpeje/,rjavet@arpeje.fr,https://www.arpeje.fr/
135,Peopulse,,16 AV DE L'AGENT SARRE,https://www.cloudlist.fr/annuaire/editeurs/sirh/peopulse/,,https://www.peopulse.com/fr/
136,Atoptima,['0659921608'],"16 Place Sainte-Eulalie, 33000 Bordeaux, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/atoptima/,contact@atoptima.com,https://atoptima.fr
137,Prophix,['01 88 86 00 24'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/prophix-2/,,https://www.prophix.com/
138,Limseo,['09 72 44 17 10'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/limseo/,,https://www.limseo.eu/
139,Easy Orga,['00687950730'],98846,https://www.cloudlist.fr/annuaire/editeurs/cloud/easy-orga/,,https://easyorga.fr/
140,Best CMS + DAM pour Architecture Composable,['0611408251'],17 RUE DE LA FORGE ROYALE,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/best-cms-dam-pour-architecture-composable/,info@coremedia.com,http://www.coremedia.com
141,Siveco Group,['+33 1 30 45 98 80'],,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/sivecogroup/,,https://www.siveco.com/fr
142,Triskell PPM,['0663099564'],3 rue de l'Eure,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/triskell-ppm/,communication@triskellsoftware.fr,http://www.triskellsoftware.com
143,BatiChiffrage,['04 75 81 27 42'],2 place Edmont Regnault,https://www.cloudlist.fr/annuaire/editeurs/cloud/batichiffrage/,info@batichiffrage.com,https://www.batichiffrage.fr/
144,VMWare,['01 47 62 79 00'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/vmware/,,https://www.vmware.com/fr.html
145,Okta,['01 85 64 08 80'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/okta/,,https://www.okta.com/fr/
146,PTV Group,['01 30 75 75 75'],"Immeuble Les Miroirs – Bât. C, 18 Avenue d‘Alsace",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/ptv-group/,,https://www.ptvgroup.com/fr/
147,iSpring,['+33 (0) 972 465 496'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/ispring-2/,,https://www.ispring.fr/
148,AD’VALOREM : Editeur de logiciels,['04 75 69 20 50'],"2 Route De Californie, 07100 Annonay, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/advalorem-editeur-de-logiciels/,infosolutions@luquet-duranton.fr,https://www.advalorem.fr/
149,Lascom,['+33 (0)1 69 35 12 20'],Energy Park 3 – Immeuble l’Etendard,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/lascom/,,https://www.lascom.fr/
150,Smart AdServer,+33(0)1 86 26 76 20,66 Rue de la Chaussée d'Antin,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/smart-adserver/,,
151,NavTrax,['02 53 55 09 96'],"60 Boulevard Maréchal Alphonse Juin, 44100 Nantes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/navtrax/,contact-navtrax@jex-it.fr,https://www.navtrax.jex-it.fr/
